任务编号	物料编号	任务类型	起始设备	目的设备	起始时间	穿梭车编号	取货完成时间	放货完成时间	货物取走时间
100	TP100	出库	12	13	0.00	1	932.95	969.60	999.65
90	TP090	出库	8	15	909.40	2	943.90	979.85	1009.90
92	TP092	出库	10	14	926.80	3	969.60	1003.95	1034.00
37	TP037	入库	18	1	0.00	1	1017.35	1048.90	1073.95
101	TP101	出库	12	14	983.05	3	1041.00	1076.05	1106.10
19	TP019	入库	17	1	0.00	2	1032.25	1081.50	1106.55
93	TP093	出库	10	15	1019.70	1	1071.60	1105.30	1135.35
20	TP020	入库	17	3	1062.30	2	1119.00	1152.40	1177.45
102	TP102	出库	12	15	1091.10	1	1143.55	1177.95	1208.00
38	TP038	入库	18	3	1047.40	3	1125.05	1185.00	1210.05
94	TP094	出库	10	13	1121.70	2	1172.85	1208.80	1238.85
21	TP021	入库	17	5	1149.05	3	1220.25	1256.35	1281.40
103	TP103	出库	12	13	1193.65	2	1244.80	1281.45	1311.50
39	TP039	入库	18	5	1155.10	1	1227.95	1288.95	1314.00
95	TP095	出库	10	14	1222.95	3	1274.55	1308.90	1338.95
22	TP022	入库	17	7	1250.30	1	1321.95	1360.30	1385.35
104	TP104	出库	12	14	1294.90	3	1345.95	1381.00	1411.05
40	TP040	入库	18	7	1258.00	2	1329.20	1392.90	1417.95
96	TP096	出库	10	15	1324.65	1	1375.90	1409.60	1439.65
23	TP023	入库	17	9	1352.00	2	1423.65	1464.25	1489.30
105	TP105	出库	12	15	1396.05	1	1447.85	1482.25	1512.30
41	TP041	入库	18	9	1359.25	3	1429.95	1496.85	1521.90
97	TP097	出库	10	13	1426.00	2	1475.90	1511.85	1541.90
24	TP024	入库	17	11	1453.70	3	1525.35	1568.20	1593.25
106	TP106	出库	12	13	1497.95	2	1547.85	1584.50	1614.55
42	TP042	入库	18	11	1460.00	1	1532.25	1600.80	1625.85
43	TP043	入库	18	1	1562.30	3	1593.70	1625.25	1650.30
107	TP107	出库	12	14	1597.95	1	1612.45	1647.50	1677.55
98	TP098	出库	10	14	1526.00	2	1618.25	1685.10	1715.15
44	TP044	入库	18	3	1623.75	3	1661.50	1718.65	1743.70
25	TP025	入库	17	1	1555.40	1	1697.35	1727.70	1752.75
99	TP099	出库	10	15	1668.35	2	1719.90	1753.60	1783.65
108	TP108	出库	12	15	1662.55	3	1741.35	1791.20	1821.25
45	TP045	入库	18	5	1691.55	1	1773.60	1828.85	1853.90
26	TP026	入库	17	3	1727.40	2	1804.65	1838.05	1863.10
1	TP001	入库	16	1	0.00	3	1843.85	1873.15	1898.20
46	TP046	入库	18	7	1803.65	1	1860.60	1900.15	1925.20
27	TP027	入库	17	5	1834.70	2	1874.95	1911.05	1936.10
2	TP002	入库	16	3	1873.90	3	1912.30	1944.65	1969.70
47	TP047	入库	18	9	1890.65	1	1929.65	1971.45	1996.50
28	TP028	入库	17	7	1905.00	2	1945.05	1983.40	2008.45
3	TP003	入库	16	5	1942.35	3	1981.55	2016.60	2041.65
48	TP048	入库	18	11	1959.70	1	1998.70	2042.75	2067.80
29	TP029	入库	17	9	1975.10	2	2014.60	2055.20	2080.25
4	TP004	入库	16	7	2011.60	3	2051.25	2088.55	2113.60
49	TP049	入库	18	1	2028.75	1	2068.25	2099.80	2124.85
30	TP030	入库	17	11	2044.65	2	2084.15	2126.80	2151.85
5	TP005	入库	16	9	2081.30	3	2120.95	2160.50	2185.55
50	TP050	入库	18	3	2098.30	1	2136.05	2170.65	2195.70
31	TP031	入库	17	1	2114.20	2	2153.40	2183.75	2208.80
6	TP006	入库	16	11	2151.00	3	2190.65	2232.45	2257.50
51	TP051	入库	18	5	2166.10	1	2204.65	2241.95	2267.00
32	TP032	入库	17	3	2183.45	2	2221.25	2254.65	2279.70
7	TP007	入库	16	1	2220.70	3	2260.65	2289.95	2315.00
52	TP052	入库	18	7	2234.70	1	2273.70	2313.25	2338.30
33	TP033	入库	17	5	2251.30	2	2289.90	2326.00	2351.05
8	TP008	入库	16	3	2290.70	3	2329.10	2361.45	2386.50
53	TP053	入库	18	9	2303.75	1	2342.75	2384.55	2409.60
34	TP034	入库	17	7	2319.95	2	2359.00	2397.35	2422.40
9	TP009	入库	16	5	2359.15	3	2398.35	2433.40	2458.45
54	TP054	入库	18	11	2372.80	1	2411.80	2455.85	2480.90
35	TP035	入库	17	9	2389.05	2	2428.10	2468.70	2493.75
10	TP010	入库	16	7	2428.40	3	2468.05	2505.35	2530.40
36	TP036	入库	17	11	2458.15	1	2482.45	2525.30	2550.35
11	TP011	入库	16	9	2498.10	2	2560.10	2599.65	2624.70
12	TP012	入库	16	11	2590.15	1	2603.45	2645.25	2670.30
13	TP013	入库	16	1	2633.50	2	2680.85	2710.15	2735.20
14	TP014	入库	16	3	2710.90	1	2722.45	2754.80	2779.85
15	TP015	入库	16	5	2752.50	2	2804.60	2839.65	2864.70
16	TP016	入库	16	7	2834.65	1	2852.05	2889.35	2914.40
17	TP017	入库	16	9	2882.10	2	2936.55	2976.10	3001.15
18	TP018	入库	16	11	2966.60	1	2983.95	3025.75	3050.80
