时间	设备编号	货物编号	状态
1971.45	9	TP047	无货变为有货
1975.10	17	TP029	无货变为有货
1981.55	103	TP003	无货变为有货
1981.55	16	TP003	有货变为无货
1983.40	102	TP028	有货变为无货
1983.40	7	TP028	无货变为有货
1996.50	9	TP047	有货变为无货
1998.70	101	TP048	无货变为有货
1998.70	18	TP048	有货变为无货
2008.45	7	TP028	有货变为无货
2011.60	16	TP004	无货变为有货
2014.60	102	TP029	无货变为有货
2014.60	17	TP029	有货变为无货
2016.60	103	TP003	有货变为无货
2016.60	5	TP003	无货变为有货
2028.75	18	TP049	无货变为有货
2041.65	5	TP003	有货变为无货
2042.75	101	TP048	有货变为无货
2042.75	11	TP048	无货变为有货
2044.65	17	TP030	无货变为有货
2051.25	103	TP004	无货变为有货
2051.25	16	TP004	有货变为无货
2055.20	102	TP029	有货变为无货
2055.20	9	TP029	无货变为有货
2067.80	11	TP048	有货变为无货
2068.25	101	TP049	无货变为有货
2068.25	18	TP049	有货变为无货
2080.25	9	TP029	有货变为无货
2081.30	16	TP005	无货变为有货
2084.15	102	TP030	无货变为有货
2084.15	17	TP030	有货变为无货
2088.55	103	TP004	有货变为无货
2088.55	7	TP004	无货变为有货
2098.30	18	TP050	无货变为有货
2099.80	101	TP049	有货变为无货
2099.80	1	TP049	无货变为有货
2113.60	7	TP004	有货变为无货
2114.20	17	TP031	无货变为有货
2120.95	103	TP005	无货变为有货
2120.95	16	TP005	有货变为无货
2124.85	1	TP049	有货变为无货
2126.80	102	TP030	有货变为无货
2126.80	11	TP030	无货变为有货
2136.05	101	TP050	无货变为有货
2136.05	18	TP050	有货变为无货
2151.00	16	TP006	无货变为有货
2151.85	11	TP030	有货变为无货
2153.40	102	TP031	无货变为有货
2153.40	17	TP031	有货变为无货
2160.50	103	TP005	有货变为无货
2160.50	9	TP005	无货变为有货
2166.10	18	TP051	无货变为有货
2170.65	101	TP050	有货变为无货
2170.65	3	TP050	无货变为有货
2183.45	17	TP032	无货变为有货
2183.75	102	TP031	有货变为无货
2183.75	1	TP031	无货变为有货
2185.55	9	TP005	有货变为无货
2190.65	103	TP006	无货变为有货
2190.65	16	TP006	有货变为无货
2195.70	3	TP050	有货变为无货
2204.65	101	TP051	无货变为有货
2204.65	18	TP051	有货变为无货
2208.80	1	TP031	有货变为无货
2220.70	16	TP007	无货变为有货
2221.25	102	TP032	无货变为有货
2221.25	17	TP032	有货变为无货
2232.45	103	TP006	有货变为无货
2232.45	11	TP006	无货变为有货
2234.70	18	TP052	无货变为有货
2241.95	101	TP051	有货变为无货
2241.95	5	TP051	无货变为有货
2251.30	17	TP033	无货变为有货
2254.65	102	TP032	有货变为无货
2254.65	3	TP032	无货变为有货
2257.50	11	TP006	有货变为无货
2260.65	103	TP007	无货变为有货
2260.65	16	TP007	有货变为无货
2267.00	5	TP051	有货变为无货
2273.70	101	TP052	无货变为有货
2273.70	18	TP052	有货变为无货
2279.70	3	TP032	有货变为无货
2289.90	102	TP033	无货变为有货
2289.90	17	TP033	有货变为无货
2289.95	103	TP007	有货变为无货
2289.95	1	TP007	无货变为有货
2290.70	16	TP008	无货变为有货
2303.75	18	TP053	无货变为有货
2313.25	101	TP052	有货变为无货
2313.25	7	TP052	无货变为有货
2315.00	1	TP007	有货变为无货
2319.95	17	TP034	无货变为有货
2326.00	102	TP033	有货变为无货
2326.00	5	TP033	无货变为有货
2329.10	103	TP008	无货变为有货
2329.10	16	TP008	有货变为无货
2338.30	7	TP052	有货变为无货
2342.75	101	TP053	无货变为有货
2342.75	18	TP053	有货变为无货
2351.05	5	TP033	有货变为无货
2359.00	102	TP034	无货变为有货
2359.00	17	TP034	有货变为无货
2359.15	16	TP009	无货变为有货
2361.45	103	TP008	有货变为无货
2361.45	3	TP008	无货变为有货
2372.80	18	TP054	无货变为有货
2384.55	101	TP053	有货变为无货
2384.55	9	TP053	无货变为有货
2386.50	3	TP008	有货变为无货
2389.05	17	TP035	无货变为有货
2397.35	102	TP034	有货变为无货
2397.35	7	TP034	无货变为有货
2398.35	103	TP009	无货变为有货
2398.35	16	TP009	有货变为无货
2409.60	9	TP053	有货变为无货
2411.80	101	TP054	无货变为有货
2411.80	18	TP054	有货变为无货
2422.40	7	TP034	有货变为无货
2428.10	102	TP035	无货变为有货
2428.10	17	TP035	有货变为无货
2428.40	16	TP010	无货变为有货
2433.40	103	TP009	有货变为无货
2433.40	5	TP009	无货变为有货
2455.85	101	TP054	有货变为无货
2455.85	11	TP054	无货变为有货
2458.15	17	TP036	无货变为有货
2458.45	5	TP009	有货变为无货
2468.05	103	TP010	无货变为有货
2468.05	16	TP010	有货变为无货
2468.70	102	TP035	有货变为无货
2468.70	9	TP035	无货变为有货
2480.90	11	TP054	有货变为无货
2482.45	101	TP036	无货变为有货
2482.45	17	TP036	有货变为无货
2493.75	9	TP035	有货变为无货
2498.10	16	TP011	无货变为有货
2505.35	103	TP010	有货变为无货
2505.35	7	TP010	无货变为有货
2525.30	101	TP036	有货变为无货
2525.30	11	TP036	无货变为有货
2530.40	7	TP010	有货变为无货
2550.35	11	TP036	有货变为无货
2560.10	102	TP011	无货变为有货
2560.10	16	TP011	有货变为无货
2590.15	16	TP012	无货变为有货
2599.65	102	TP011	有货变为无货
2599.65	9	TP011	无货变为有货
2603.45	101	TP012	无货变为有货
2603.45	16	TP012	有货变为无货
2624.70	9	TP011	有货变为无货
2633.50	16	TP013	无货变为有货
2645.25	101	TP012	有货变为无货
2645.25	11	TP012	无货变为有货
2670.30	11	TP012	有货变为无货
2680.85	102	TP013	无货变为有货
2680.85	16	TP013	有货变为无货
2710.15	102	TP013	有货变为无货
2710.15	1	TP013	无货变为有货
2710.90	16	TP014	无货变为有货
2722.45	101	TP014	无货变为有货
2722.45	16	TP014	有货变为无货
2735.20	1	TP013	有货变为无货
2752.50	16	TP015	无货变为有货
2754.80	101	TP014	有货变为无货
2754.80	3	TP014	无货变为有货
2779.85	3	TP014	有货变为无货
2804.60	102	TP015	无货变为有货
2804.60	16	TP015	有货变为无货
2834.65	16	TP016	无货变为有货
2839.65	102	TP015	有货变为无货
2839.65	5	TP015	无货变为有货
2852.05	101	TP016	无货变为有货
2852.05	16	TP016	有货变为无货
2864.70	5	TP015	有货变为无货
2882.10	16	TP017	无货变为有货
2889.35	101	TP016	有货变为无货
2889.35	7	TP016	无货变为有货
2914.40	7	TP016	有货变为无货
2936.55	102	TP017	无货变为有货
2936.55	16	TP017	有货变为无货
2966.60	16	TP018	无货变为有货
2976.10	102	TP017	有货变为无货
2976.10	9	TP017	无货变为有货
2983.95	101	TP018	无货变为有货
2983.95	16	TP018	有货变为无货
3001.15	9	TP017	有货变为无货
3025.75	101	TP018	有货变为无货
3025.75	11	TP018	无货变为有货
3050.80	11	TP018	有货变为无货
